Media Source,Campaign,Campaign Id,Cohort Day,Users,retention,Cost,Average eCPI,sessions - Unique users - day 1,sessions - Unique users - day 2,sessions - Unique users - day 3,sessions - Unique users - day 4,sessions - Unique users - day 5,sessions - Unique users - day 6,sessions - Unique users - day 7,sessions - Unique users - day 8,sessions - Unique users - day 9,sessions - Unique users - day 10,sessions - Unique users - day 11,sessions - Unique users - day 12,sessions - Unique users - day 13,sessions - Unique users - day 14,sessions - Unique users - day 15,sessions - Unique users - day 16,sessions - Unique users - day 17,sessions - Unique users - day 18,sessions - Unique users - day 19,sessions - Unique users - day 20,sessions - Unique users - day 21 - partial,sessions - Unique users - day 22 - partial,sessions - Unique users - day 23 - partial,sessions - Unique users - day 24 - partial,sessions - Unique users - day 25 - partial,sessions - Unique users - day 26 - partial,sessions - Unique users - day 27 - partial,sessions - Unique users - day 28 - partial,retention2
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-09,115,3217.0,12.34,0.11,37,13,10,7,7,6,5,5,6,6,3,3,3,2,3,2,1,1,2,2,2,2,1,1,1,1,0,0,37(32.17%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-10,399,2807.0,37.67,0.09,112,57,40,33,26,26,20,16,16,15,9,11,8,9,9,10,9,7,7,6,7,5,5,5,3,4,0,0,112(28.07%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-11,514,3093.0,45.35,0.09,159,88,65,52,45,34,36,29,28,22,20,22,17,16,18,16,14,14,13,12,12,12,12,12,10,0,0,0,159(30.93%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-12,521,2994.0,41.41,0.08,156,92,67,49,41,32,28,26,25,23,24,19,17,17,17,18,14,14,13,12,12,14,12,8,0,0,0,0,156(29.94%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-13,513,2963.0,42.4,0.08,152,75,59,42,38,34,31,26,20,22,21,20,20,17,16,13,15,15,14,12,10,10,8,0,0,0,0,0,152(29.63%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-14,495,2949.0,40.74,0.08,146,72,48,42,35,30,25,26,24,21,21,19,21,20,20,18,19,15,17,17,18,17,0,0,0,0,0,0,146(29.49%)
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-15,509,3143.0,45.19,0.09,160,84,64,50,37,35,34,29,27,27,22,25,21,19,17,18,14,13,14,15,17,0,0,0,0,0,0,0,160(31.43%)
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-08,915,4601.0,100.21,0.11,421,239,175,131,111,112,96,92,69,69,62,61,56,47,57,47,54,47,43,44,42,40,34,37,35,30,31,24,421(46.01%)
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-09,749,4433.0,81.62,0.11,332,219,162,139,122,104,98,82,78,73,71,62,59,52,56,55,56,49,47,48,42,40,32,38,38,39,34,0,332(44.33%)
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-10,1199,3628.0,106.58,0.09,435,256,167,139,120,113,101,83,78,70,52,52,52,48,53,49,46,41,42,39,35,35,34,37,37,37,0,0,435(36.28%)
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-11,1234,3339.0,106.17,0.09,412,206,159,132,106,94,78,75,68,58,59,52,49,50,42,44,45,43,45,44,42,41,38,34,32,0,0,0,412(33.39%)
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-12,1108,3547.0,101.49,0.09,393,231,174,142,118,107,81,81,75,62,53,48,50,49,48,41,44,37,36,34,33,34,31,31,0,0,0,0,393(35.47%)
