Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,revenue - sum - day 0 - partial,revenue - sum - day 1 - partial,revenue - sum - day 2 - partial,revenue - sum - day 3 - partial,revenue - sum - day 4 - partial,revenue - sum - day 5 - partial,revenue - sum - day 6 - partial,revenue - sum - day 7 - partial,revenue - sum - day 8 - partial,revenue - sum - day 9 - partial,revenue - sum - day 10 - partial,revenue - sum - day 11 - partial,revenue - sum - day 12 - partial,revenue - sum - day 13 - partial,revenue - sum - day 14 - partial,revenue - sum - day 15 - partial,revenue - sum - day 16 - partial,revenue - sum - day 17 - partial,revenue - sum - day 18 - partial,revenue - sum - day 19 - partial,revenue - sum - day 20 - partial,revenue - sum - day 21 - partial,revenue - sum - day 22 - partial,revenue - sum - day 23 - partial,revenue - sum - day 24 - partial,revenue - sum - day 25 - partial,revenue - sum - day 26 - partial,revenue - sum - day 27 - partial,revenue - sum - day 28 - partial
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-21,1356,98.97,0.07,46.76,57.6,63.79,69.09,72.71,75.21,77.5,79.54,80.99,82.72,84.0,85.08,87.45,89.41,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63,91.63
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-22,1595,102.27,0.06,56.26,71.64,82.74,89.82,96.05,101.14,105.21,108.71,111.06,113.25,115.16,118.35,122.42,126.23,126.23,126.23,126.23,126.23,126.23,126.23,126.23,126.23,126.23,126.23,126.23,126.23,126.23,126.23,126.23
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-23,1507,94.37,0.06,52.74,68.01,77.3,83.58,88.0,90.77,93.13,94.94,96.91,98.92,101.95,104.45,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76,107.76
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-24,1457,98.79,0.07,67.27,84.18,93.45,100.42,105.07,108.78,111.22,113.77,115.99,119.8,122.81,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41,126.41
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-25,1375,99.64,0.07,55.86,68.22,75.85,80.83,84.96,87.76,91.05,93.9,97.24,100.8,104.7,104.7,104.7,104.7,104.7,104.7,104.7,104.7,104.7,104.7,104.7,104.7,104.7,104.7,104.7,104.7,104.7,104.7,104.7
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-26,1356,101.84,0.08,57.27,73.18,82.05,86.74,90.34,92.98,96.04,100.27,104.14,107.22,107.22,107.22,107.22,107.22,107.22,107.22,107.22,107.22,107.22,107.22,107.22,107.22,107.22,107.22,107.22,107.22,107.22,107.22,107.22
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-27,1310,103.22,0.08,45.66,58.69,64.89,68.78,71.87,74.71,78.74,82.63,86.73,86.73,86.73,86.73,86.73,86.73,86.73,86.73,86.73,86.73,86.73,86.73,86.73,86.73,86.73,86.73,86.73,86.73,86.73,86.73,86.73
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-28,1430,102.21,0.07,50.64,62.36,70.29,75.52,80.0,85.82,91.16,95.64,95.64,95.64,95.64,95.64,95.64,95.64,95.64,95.64,95.64,95.64,95.64,95.64,95.64,95.64,95.64,95.64,95.64,95.64,95.64,95.64,95.64
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-03-01,1346,102.05,0.08,46.44,61.58,69.37,75.1,81.73,88.89,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-03-02,1470,93.78,0.06,43.01,55.97,63.54,70.89,77.08,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48,82.48
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-03-03,1365,99.22,0.07,47.74,61.68,71.02,79.96,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19,87.19
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-03-04,1300,97.68,0.08,37.19,52.13,61.7,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-03-05,1407,101.52,0.07,42.19,57.32,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47,67.47
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-03-06,1401,103.39,0.07,41.2,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13,59.13
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-03-07,1379,99.79,0.07,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6,40.6
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-03-08,1084,87.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-03-09,1037,56.32,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131,2.3853612916580404e+16,2023-02-09,173,29.78,0.17,5.59,6.7,7.33,7.78,8.18,8.42,8.56,8.91,9.07,9.17,9.34,9.44,9.5,9.56,9.63,9.76,9.82,9.99,10.09,10.15,10.19,10.21,10.26,10.33,10.42,10.45,10.5,10.5,10.5
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131,2.3853612916580404e+16,2023-02-10,114,17.86,0.16,3.9,4.48,4.65,4.81,5.01,5.11,5.14,5.14,5.15,5.19,5.2,5.2,5.2,5.22,5.25,5.28,5.33,5.38,5.41,5.42,5.43,5.45,5.48,5.58,5.63,5.65,5.65,5.65,5.65
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131,2.3853612916580404e+16,2023-02-11,7,0.0,0.0,0.28,0.59,0.86,1.08,1.3,1.82,1.89,1.93,1.99,2.06,2.09,2.12,2.13,2.21,2.26,2.29,2.34,2.39,2.45,2.47,2.54,2.58,2.62,2.66,2.72,2.72,2.72,2.72,2.72
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131,2.3853612916580404e+16,2023-02-12,4,,,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131,2.3853612916580404e+16,2023-02-13,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131,2.3853612916580404e+16,2023-02-14,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-09,620,65.77,0.11,22.58,28.61,31.52,33.94,35.92,37.1,38.55,39.54,40.49,41.32,41.91,42.56,43.09,43.74,44.22,44.61,45.03,45.47,45.87,46.28,46.66,46.95,47.37,47.65,48.0,48.35,48.48,48.48,48.48
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-10,640,66.68,0.1,21.03,27.53,29.87,32.21,33.7,34.71,35.93,37.25,37.89,38.61,39.08,39.52,39.96,40.4,40.92,41.32,41.8,42.16,42.5,42.66,42.86,43.22,43.39,43.6,43.98,44.23,44.23,44.23,44.23
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-11,662,67.08,0.1,18.96,24.55,27.33,28.97,30.86,31.99,32.78,33.32,33.87,34.36,34.75,35.37,35.84,36.26,36.85,37.22,37.61,37.99,38.29,38.63,38.94,39.47,40.03,40.48,41.02,41.02,41.02,41.02,41.02
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-12,647,71.76,0.11,17.98,23.43,26.51,28.77,30.35,31.85,32.72,33.77,34.83,35.59,36.23,37.21,37.79,38.48,39.22,39.83,40.45,41.07,41.64,42.23,42.7,43.12,43.56,43.96,43.96,43.96,43.96,43.96,43.96
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-13,788,70.18,0.09,22.27,28.46,31.72,34.3,35.97,37.43,38.42,39.38,40.2,40.91,41.76,42.39,43.13,43.7,44.47,45.0,45.42,45.94,46.32,46.76,47.1,47.49,47.92,47.92,47.92,47.92,47.92,47.92,47.92
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-14,508,43.41,0.09,12.83,17.51,19.68,21.02,22.85,23.7,24.92,25.66,26.29,26.95,27.6,28.14,28.73,29.12,29.57,30.35,30.7,31.23,31.6,31.96,32.26,32.77,32.77,32.77,32.77,32.77,32.77,32.77,32.77
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-15,336,28.32,0.08,9.52,12.11,13.25,14.47,14.9,15.27,15.68,16.2,16.79,17.32,17.74,18.17,18.75,19.23,19.6,19.93,20.14,20.35,20.54,20.77,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-16,137,8.66,0.06,2.57,3.99,4.97,5.46,5.93,6.27,6.56,6.8,6.97,7.26,7.49,7.59,7.73,7.91,7.97,8.19,8.25,8.34,8.43,8.72,8.72,8.72,8.72,8.72,8.72,8.72,8.72,8.72,8.72
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-17,11,0.0,0.0,0.09,0.19,0.25,0.26,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-18,6,,,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-19,5,,,0.07,0.09,0.09,0.1,0.11,0.11,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-20,2,,,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-10,107,12.07,0.11,3.22,4.57,5.05,5.29,5.53,5.65,5.78,5.85,5.91,5.95,5.97,5.99,6.03,6.1,6.19,6.26,6.3,6.31,6.34,6.35,6.37,6.39,6.41,6.43,6.47,6.48,6.48,6.48,6.48
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-11,352,28.42,0.08,11.26,13.9,15.76,16.63,17.37,17.98,18.42,18.8,19.19,19.56,19.72,20.17,20.53,20.87,21.27,21.69,21.98,22.25,22.49,22.74,22.99,23.17,23.51,23.64,23.86,23.86,23.86,23.86,23.86
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-12,367,30.84,0.08,11.41,14.1,15.64,16.74,17.46,18.11,18.51,19.03,19.38,19.56,19.85,20.33,20.67,21.0,21.38,21.67,22.0,22.2,22.54,22.86,23.2,23.47,23.65,24.01,24.01,24.01,24.01,24.01,24.01
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-13,329,30.44,0.09,9.8,12.37,14.73,15.55,16.43,17.1,17.41,17.62,17.87,18.06,18.38,18.83,19.09,19.37,19.61,19.75,20.0,20.21,20.34,20.49,20.66,20.78,20.94,20.94,20.94,20.94,20.94,20.94,20.94
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-14,461,34.44,0.07,14.65,19.44,22.12,23.83,24.64,25.23,25.66,26.13,26.61,27.28,28.01,28.56,29.04,29.62,30.14,30.54,30.97,31.45,31.71,32.05,32.46,32.79,32.79,32.79,32.79,32.79,32.79,32.79,32.79
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-15,475,38.09,0.08,13.85,17.49,19.23,20.02,20.85,21.5,22.16,22.77,23.6,24.29,25.0,25.64,26.29,26.81,27.28,27.68,28.18,28.53,28.94,29.25,29.62,29.62,29.62,29.62,29.62,29.62,29.62,29.62,29.62
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-16,358,26.96,0.08,9.08,11.53,12.43,13.15,13.54,14.25,14.7,15.14,15.47,15.85,16.15,16.41,16.76,16.94,17.2,17.56,17.89,18.26,18.57,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78,18.78
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-17,22,0.0,0.0,0.25,0.35,0.4,0.45,0.52,0.57,0.64,0.68,0.78,0.8,0.85,0.92,0.95,0.99,1.33,1.4,1.66,2.04,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11,2.11
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-18,5,,,0.06,0.09,0.1,0.16,0.16,0.18,0.22,0.28,0.32,0.35,0.38,0.42,0.42,0.45,0.47,0.48,0.5,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-19,7,,,0.1,0.14,0.17,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.22,0.22,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-20,5,,,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.06,0.07,0.07,0.07,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-21,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-22,2,,,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Facebook Ads,$facebook_int$AND$PT$MAItangjie0131,2.3853613357020404e+16,2023-02-09,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,$facebook_int$AND$US$MAItangjie0110,2.3853396928460404e+16,2023-02-14,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Facebook Ads,$facebook_int$AND$US$MAItangjie0113手动出价,2.3853429237580404e+16,2023-02-09,2,,,0.26,0.26,0.38,0.46,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56
Facebook Ads,youdaozhixuan_Liveme_FB_ID_04_aaa_page003_ys_0303_ON,2.38541946302402e+16,2023-03-03,278,18.51,0.07,12.06,14.58,16.5,18.2,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09,19.09
Facebook Ads,youdaozhixuan_Liveme_FB_ID_04_aaa_page003_ys_0303_ON,2.38541946302402e+16,2023-03-04,714,47.03,0.07,22.01,35.61,42.96,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56,48.56
Facebook Ads,youdaozhixuan_Liveme_FB_ID_04_aaa_page003_ys_0303_ON,2.38541946302402e+16,2023-03-05,1027,51.73,0.05,41.6,57.13,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11,66.11
Facebook Ads,youdaozhixuan_Liveme_FB_ID_04_aaa_page003_ys_0303_ON,2.38541946302402e+16,2023-03-06,978,50.16,0.05,39.86,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46,59.46
Facebook Ads,youdaozhixuan_Liveme_FB_ID_04_aaa_page003_ys_0303_ON,2.38541946302402e+16,2023-03-07,949,49.93,0.05,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79,38.79
Facebook Ads,youdaozhixuan_Liveme_FB_ID_04_aaa_page003_ys_0303_ON,2.38541946302402e+16,2023-03-08,1338,79.75,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,youdaozhixuan_Liveme_FB_ID_04_aaa_page003_ys_0303_ON,2.38541946302402e+16,2023-03-09,893,27.13,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,youdaozhixuan_Liveme_FB_MY_05_aaa_page003_ys_0303_ON,2.3854142947790664e+16,2023-03-03,152,18.02,0.12,12.44,16.09,17.77,19.55,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97
Facebook Ads,youdaozhixuan_Liveme_FB_MY_05_aaa_page003_ys_0303_ON,2.3854142947790664e+16,2023-03-04,358,47.26,0.13,25.28,39.57,47.11,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84,53.84
Facebook Ads,youdaozhixuan_Liveme_FB_MY_05_aaa_page003_ys_0303_ON,2.3854142947790664e+16,2023-03-05,508,52.05,0.1,51.29,70.13,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92
Facebook Ads,youdaozhixuan_Liveme_FB_MY_05_aaa_page003_ys_0303_ON,2.3854142947790664e+16,2023-03-06,471,50.73,0.11,43.05,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14,62.14
Facebook Ads,youdaozhixuan_Liveme_FB_MY_05_aaa_page003_ys_0303_ON,2.3854142947790664e+16,2023-03-07,428,49.59,0.12,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14,39.14
Facebook Ads,youdaozhixuan_Liveme_FB_MY_05_aaa_page003_ys_0303_ON,2.3854142947790664e+16,2023-03-08,574,78.16,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,youdaozhixuan_Liveme_FB_MY_05_aaa_page003_ys_0303_ON,2.3854142947790664e+16,2023-03-09,381,27.35,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,youdaozhixuan_Liveme_FB_TH_04_aaa_page003_ys_0303_ON,2.38541948377202e+16,2023-03-03,163,18.08,0.11,9.92,15.64,22.72,27.29,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39,30.39
Facebook Ads,youdaozhixuan_Liveme_FB_TH_04_aaa_page003_ys_0303_ON,2.38541948377202e+16,2023-03-04,348,47.37,0.14,21.69,37.18,47.08,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84,54.84
Facebook Ads,youdaozhixuan_Liveme_FB_TH_04_aaa_page003_ys_0303_ON,2.38541948377202e+16,2023-03-05,577,50.21,0.09,49.28,78.87,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72,97.72
Facebook Ads,youdaozhixuan_Liveme_FB_TH_04_aaa_page003_ys_0303_ON,2.38541948377202e+16,2023-03-06,534,50.52,0.09,51.03,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27,78.27
Facebook Ads,youdaozhixuan_Liveme_FB_TH_04_aaa_page003_ys_0303_ON,2.38541948377202e+16,2023-03-07,623,50.26,0.08,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62,67.62
Facebook Ads,youdaozhixuan_Liveme_FB_TH_04_aaa_page003_ys_0303_ON,2.38541948377202e+16,2023-03-08,715,76.7,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,youdaozhixuan_Liveme_FB_TH_04_aaa_page003_ys_0303_ON,2.38541948377202e+16,2023-03-09,487,25.87,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-10,414,35.97,0.09,14.87,19.1,21.18,22.63,23.77,24.42,24.94,25.43,25.81,26.25,26.6,26.96,27.39,27.78,28.1,28.39,28.68,29.07,29.28,29.47,29.58,29.74,29.89,30.07,30.2,30.32,30.32,30.32,30.32
Facebook Ads,youdaozhixuan_Liveme_FB__PH_01_aaa_page002_ys_0210_,2.385248167094053e+16,2023-02-11,1245,85.06,0.07,44.03,53.28,58.04,62.35,65.23,67.48,69.13,70.41,71.62,73.1,74.38,75.28,76.32,77.22,78.44,79.32,80.34,81.54,82.37,83.26,84.13,85.0,85.83,86.92,87.85,87.85,87.85,87.85,87.85
