Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,retention day1 ,retention day1 percent,roas - Rate - day 0 - partial,roas - Rate - day 1 - partial,roas - Rate - day 2 - partial,roas - Rate - day 3 - partial,roas - Rate - day 4 - partial,roas - Rate - day 5 - partial,roas - Rate - day 6 - partial,roas - Rate - day 7 - partial,roas - Rate - day 8 - partial,roas - Rate - day 9 - partial,roas - Rate - day 10 - partial,roas - Rate - day 11 - partial,roas - Rate - day 12 - partial,roas - Rate - day 13 - partial,roas - Rate - day 14 - partial,roas - Rate - day 15 - partial,roas - Rate - day 16 - partial,roas - Rate - day 17 - partial,roas - Rate - day 18 - partial,roas - Rate - day 19 - partial,roas - Rate - day 20 - partial,roas - Rate - day 21 - partial,roas - Rate - day 22 - partial,roas - Rate - day 23 - partial,roas - Rate - day 24 - partial,roas - Rate - day 25 - partial,roas - Rate - day 26 - partial,roas - Rate - day 27 - partial,roas - Rate - day 28 - partial,revenue - sum - day 0 - partial,revenue - sum - day 1 - partial,revenue - sum - day 2 - partial,revenue - sum - day 3 - partial,revenue - sum - day 4 - partial,revenue - sum - day 5 - partial,revenue - sum - day 6 - partial,revenue - sum - day 7 - partial,revenue - sum - day 8 - partial,revenue - sum - day 9 - partial,revenue - sum - day 10 - partial,revenue - sum - day 11 - partial,revenue - sum - day 12 - partial,revenue - sum - day 13 - partial,revenue - sum - day 14 - partial,revenue - sum - day 15 - partial,revenue - sum - day 16 - partial,revenue - sum - day 17 - partial,revenue - sum - day 18 - partial,revenue - sum - day 19 - partial,revenue - sum - day 20 - partial,revenue - sum - day 21 - partial,revenue - sum - day 22 - partial,revenue - sum - day 23 - partial,revenue - sum - day 24 - partial,revenue - sum - day 25 - partial,revenue - sum - day 26 - partial,revenue - sum - day 27 - partial,revenue - sum - day 28 - partial
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-11,1,0.0,0.0,1,100.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.19,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-12,1,,,1,100.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-13,1,,,1,100.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy,2.3853623887190404e+16,2023-02-14,1,,,1,100.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-10,54,10.9,0.2,18,33.33%,32.69,38.07,38.61,40.0,43.43,44.82,45.44,46.53,46.53,46.72,46.72,46.95,46.95,47.17,47.21,47.67,47.71,47.72,47.75,47.85,47.87,47.97,48.05,48.18,48.28,48.39,48.39,48.39,48.39,3.56,4.15,4.21,4.36,4.73,4.89,4.95,5.07,5.07,5.09,5.09,5.12,5.12,5.14,5.15,5.2,5.2,5.2,5.21,5.22,5.22,5.23,5.24,5.25,5.26,5.27,5.27,5.27,5.27
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-11,197,33.24,0.17,93,47.21%,20.42,26.17,29.85,32.02,32.81,33.48,34.65,35.23,35.57,36.1,36.43,36.96,37.78,38.75,39.22,39.82,40.69,41.06,41.49,41.85,42.3,42.62,43.35,43.75,44.18,44.18,44.18,44.18,44.18,6.79,8.7,9.92,10.64,10.91,11.13,11.52,11.71,11.82,12.0,12.11,12.29,12.56,12.88,13.04,13.24,13.52,13.65,13.79,13.91,14.06,14.17,14.41,14.54,14.69,14.69,14.69,14.69,14.69
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-12,181,30.99,0.17,96,53.04%,23.76,32.58,38.09,43.02,47.3,49.36,50.61,50.94,51.9,52.71,53.57,54.21,54.62,55.02,55.87,56.27,56.93,57.67,58.5,59.38,60.09,60.63,61.25,62.12,62.12,62.12,62.12,62.12,62.12,7.36,10.1,11.8,13.33,14.66,15.3,15.68,15.79,16.08,16.34,16.6,16.8,16.93,17.05,17.31,17.44,17.64,17.87,18.13,18.4,18.62,18.79,18.98,19.25,19.25,19.25,19.25,19.25,19.25
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-13,240,31.85,0.13,109,45.42%,23.74,34.62,40.06,44.1,45.92,47.51,49.44,50.03,50.24,50.55,51.3,52.28,53.2,53.95,54.84,55.27,55.64,55.97,56.42,56.91,57.84,58.6,59.66,59.66,59.66,59.66,59.66,59.66,59.66,7.56,11.03,12.76,14.05,14.63,15.13,15.75,15.93,16.0,16.1,16.34,16.65,16.94,17.18,17.47,17.6,17.72,17.83,17.97,18.13,18.42,18.67,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-14,199,21.43,0.11,117,58.79%,29.78,37.95,41.76,44.51,47.16,48.66,49.8,50.47,51.51,52.65,53.31,53.94,54.61,55.14,55.69,56.71,57.22,57.95,58.64,60.72,62.12,63.07,63.07,63.07,63.07,63.07,63.07,63.07,63.07,6.38,8.13,8.95,9.54,10.11,10.43,10.67,10.82,11.04,11.28,11.42,11.56,11.7,11.82,11.93,12.15,12.26,12.42,12.57,13.01,13.31,13.51,13.51,13.51,13.51,13.51,13.51,13.51,13.51
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-15,28,0.0,0.0,19,67.86%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,1.31,1.43,1.6,1.73,1.77,1.95,2.07,2.08,2.1,2.12,2.12,2.12,2.17,2.23,2.24,2.3,2.34,2.37,2.39,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42
