Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,new_column,roas - Rate - day 0,roas - Rate - day 1,roas - Rate - day 2,roas - Rate - day 3,roas - Rate - day 4,roas - Rate - day 5,roas - Rate - day 6,roas - Rate - day 7,roas - Rate - day 8,roas - Rate - day 9,roas - Rate - day 10,roas - Rate - day 11,roas - Rate - day 12,roas - Rate - day 13,roas - Rate - day 14,roas - Rate - day 15,roas - Rate - day 16,roas - Rate - day 17,roas - Rate - day 18,roas - Rate - day 19,roas - Rate - day 20,roas - Rate - day 21 - partial,roas - Rate - day 22 - partial,roas - Rate - day 23 - partial,roas - Rate - day 24 - partial,roas - Rate - day 25 - partial,roas - Rate - day 26 - partial,roas - Rate - day 27 - partial,roas - Rate - day 28 - partial
Facebook Ads,youdaozhixuan_Liveme_FB_mess cleaner_MX_03_aaa_page002_ys_0210-2_ON,2.385364597840077e+16,2023-02-14,735,50.8,0.07,161,45.99,56.2,61.54,66.07,68.69,70.56,72.43,73.0,73.44,74.13,74.81,75.79,76.51,77.15,77.95,78.78,79.34,80.24,81.0,82.17,83.09,83.09,83.09,83.09,83.09,83.09,83.09,83.09,83.09
Facebook Ads,youdaozhixuan_Liveme_FB_mess cleaner_MX_03_aaa_page002_ys_0210-2_ON,2.385364597840077e+16,2023-02-13,701,51.3,0.07,161,45.67,61.98,68.12,72.89,75.85,77.42,79.11,80.37,81.42,82.37,83.59,84.82,85.76,86.75,88.05,89.05,90.13,90.97,91.71,92.44,93.55,94.47,94.47,94.47,94.47,94.47,94.47,94.47,94.47
Facebook Ads,youdaozhixuan_Liveme_FB_mess cleaner_MX_03_aaa_page002_ys_0210-2_ON,2.385364597840077e+16,2023-02-11,682,55.77,0.08,124,42.15,48.36,52.69,56.24,57.93,59.38,60.51,61.06,61.5,61.65,61.95,62.03,62.28,63.02,63.68,64.7,65.05,65.41,65.93,66.31,66.44,66.69,67.08,67.51,67.51,67.51,67.51,67.51,67.51
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-11,662,67.08,0.1,149,28.26,36.6,40.74,43.19,46.01,47.69,48.87,49.67,50.5,51.22,51.81,52.73,53.42,54.06,54.94,55.49,56.07,56.64,57.08,57.59,58.04,58.85,59.68,60.34,60.34,60.34,60.34,60.34,60.34
Facebook Ads,youdaozhixuan_Liveme_FB_mess cleaner_MX_03_aaa_page002_ys_0210-2_ON,2.385364597840077e+16,2023-02-12,661,51.1,0.08,145,39.84,48.81,53.73,56.59,58.88,60.87,62.9,64.41,65.22,65.96,67.04,68.33,69.63,70.65,71.68,72.55,73.07,73.63,74.3,74.89,75.36,76.39,77.08,77.08,77.08,77.08,77.08,77.08,77.08
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-12,647,71.76,0.11,155,25.05,32.65,36.94,40.09,42.3,44.38,45.6,47.05,48.54,49.6,50.48,51.85,52.66,53.62,54.66,55.5,56.37,57.24,58.03,58.85,59.51,60.09,60.7,60.7,60.7,60.7,60.7,60.7,60.7
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-10,640,66.68,0.1,149,31.53,41.29,44.79,48.3,50.54,52.05,53.88,55.87,56.83,57.9,58.61,59.27,59.93,60.59,61.37,61.97,62.68,63.22,63.74,63.97,64.28,64.82,65.07,65.39,65.96,65.96,65.96,65.96,65.96
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-09,620,65.77,0.11,147,34.34,43.5,47.93,51.6,54.62,56.42,58.62,60.11,61.56,62.83,63.72,64.71,65.51,66.5,67.24,67.82,68.47,69.13,69.74,70.37,70.94,71.38,72.02,72.44,72.98,73.51,73.51,73.51,73.51
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-12,521,41.41,0.08,92,43.96,55.92,62.41,66.46,69.25,71.27,74.32,76.73,77.76,78.63,80.86,82.06,82.94,83.55,84.25,84.73,85.21,85.66,85.93,86.22,86.58,87.0,87.61,87.61,87.61,87.61,87.61,87.61,87.61
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-11,514,45.35,0.09,88,44.43,53.49,57.47,60.88,62.81,63.95,65.88,66.96,67.88,68.74,70.05,71.66,73.09,73.82,74.86,75.43,76.14,78.12,78.59,79.54,80.49,81.53,82.66,83.99,83.99,83.99,83.99,83.99,83.99
